Flag,Index,,,,
A,5,,,,
I,6,,,,
Z,0,,,,
N,1,,,,
O,2,,,,
C,3,,,,
E,4,,,,
Instruction,I4,I3,I2,I1,I0
ADD,0,0,0,0,0
SUB,0,0,0,0,1
ADDI,0,1,0,0,0
AND,0,0,0,1,0
OR,0,0,0,1,1
XOR,0,0,1,0,0
NOT,0,0,1,0,1
INV,0,1,0,0,1
ROR,0,1,1,1,0
ROL,0,1,1,1,1
SHR,0,0,1,1,0
SHL,0,0,1,1,1
LIL0,1,0,0,0,0
LIL1,1,0,0,0,1
LD,1,0,0,1,0
ST,1,0,0,1,1
LIH,1,0,1,0,0
MOV,1,0,1,0,1
JSR,1,0,1,1,0
NOP,1,0,1,1,1
LDFI,1,1,0,0,0
MOVF,1,1,0,0,1
MSRP,1,1,0,1,0
MSRF,1,1,0,1,1
SWI,1,1,1,0,0
RTI,1,1,1,0,1
BR,1,1,1,1,0
JMP,1,1,1,1,1
